subject;body;body_ai;date
Introduction to Potential Investor;Hi [Name],\n\nI'm [Your Name], founder of [Startup Name]. We're revolutionizing [industry] through [key innovation]. Would you have time next week to discuss...\n\nBest,\n[Your Name];Hi [Name],\n\nI'm [Your Name], founder of [Startup Name]. We're revolutionizing [industry] through [key innovation]. Would you have time next week to discuss...\n\nBest,\n[Your Name];2024-03-15
Follow-Up After Conference Meeting;Dear [Name],\n\nGreat connecting at [Event Name]. As mentioned, our platform helps [specific pain point]. I'd love to schedule a demo...\n\nLooking forward,\n[Your Name];Dear [Name],\n\nGreat connecting at [Event Name]. As mentioned, our platform helps [specific pain point]. I'd love to schedule a demo...\n\nLooking forward,\n[Your Name];2024-03-16
Job Application: Marketing Manager Role;Dear Hiring Team,\n\nI'm excited to apply for the Marketing Manager position. With [X years] experience in [relevant field], I've successfully...\n\nSincerely,\n[Your Name];Dear Hiring Team,\n\nI'm excited to apply for the Marketing Manager position. With [X years] experience in [relevant field], I've successfully...\n\nSincerely,\n[Your Name];2024-03-17
Request for Informational Interview;Hello [Name],\n\nI admire your work in [field]. Would you have 20 minutes to share insights about [specific topic]? I'm particularly interested in...\n\nBest regards,\n[Your Name];Hello [Name],\n\nI admire your work in [field]. Would you have 20 minutes to share insights about [specific topic]? I'm particularly interested in...\n\nBest regards,\n[Your Name];2024-03-18
Client Project Update;Hi [Client Name],\n\nHere's our weekly update:\n1. Completed [Milestone A]\n2. Currently working on [Task B]\n3. Next steps: [Action Items]\n\nAny feedback?;Hi [Client Name],\n\nHere's our weekly update:\n1. Completed [Milestone A]\n2. Currently working on [Task B]\n3. Next steps: [Action Items]\n\nAny feedback?;2024-03-19
Networking Follow-Up;Hi [Name],\n\nEnjoyed our conversation about [topic] at [Event]. You mentioned [specific challenge] - here's an article I thought you'd find interesting...;Hi [Name],\n\nEnjoyed our conversation about [topic] at [Event]. You mentioned [specific challenge] - here's an article I thought you'd find interesting...;2024-03-20
Partnership Proposal;Dear [Company] Team,\n\nWe propose a collaboration combining our [strength A] with your [strength B] to create [joint value proposition]. Let's discuss...;Dear [Company] Team,\n\nWe propose a collaboration combining our [strength A] with your [strength B] to create [joint value proposition]. Let's discuss...;2024-03-21
Reference Request;Dear [Name],\n\nI'm applying for [position] at [company] and would be honored if you could serve as a reference. Specifically, they might ask about...;Dear [Name],\n\nI'm applying for [position] at [company] and would be honored if you could serve as a reference. Specifically, they might ask about...;2024-03-22
Post-Interview Thank You;Dear [Interviewer],\n\nThank you for discussing the [Role] opportunity. I'm particularly excited about [specific topic from interview]. To follow up...;Dear [Interviewer],\n\nThank you for discussing the [Role] opportunity. I'm particularly excited about [specific topic from interview]. To follow up...;2024-03-23
Salary Negotiation Follow-Up;Hi [HR Contact],\n\nThank you for the offer. While I'm excited about the role, I wanted to discuss the compensation package. Based on my [experience/achievements]...;Hi [HR Contact],\n\nThank you for the offer. While I'm excited about the role, I wanted to discuss the compensation package. Based on my [experience/achievements]...;2024-03-24
